link;Country;place;time GMT;desciprion;PTZ;Type of area;Live;
https://www.youtube.com/watch?v=edu9_9I44VY;NL;Noordwijk (NL);1;;N;;Y;Live Noordwijk Boulevard en Beach Camera
https://www.youtube.com/watch?v=cK6L43O3918;NL;Oldehove (NL);1;;N;;Y;Oldehove Camera
https://www.youtube.com/watch?v=e8cxjNE-4_I;NL;Purmerend (NL);1;;N;;Y;Archie Europe RotondeCam 4K
https://www.youtube.com/watch?v=tbLXWVhu8-Q;NO;Lillestrøm, Norway;1;;N;;Y;Rådhustårnet Skedsmo kommune
https://www.youtube.com/watch?v=RAMMcqksNK0;PL;Sokó?ka (PL);1;;N;;Y;KAMERA IP: Unikat / SokolkaTV
https://www.youtube.com/watch?v=ZTa4ap3i278;PL;warsaw (PL);1;;N;;Y;Warszawa - Traffic Monitoring - LIVE 24/7
https://www.youtube.com/watch?v=1dEQAE-BVeE;RU;Klin, RU;3;;N;;Y;Город Клин, улица Гагарина в сторону улицы Карла Маркса, вид на сквер Афанасьева
https://www.youtube.com/watch?v=INAWjHLBxww;SRB;Belgrade (SRB);1;;Y;;Y;Beograd Com Live Stream
https://www.youtube.com/watch?v=2qzhdXS4u7U;SRP;Voivodina (SRB);1;;N;;Y;Vega IT Sourcing Live Stream
https://www.youtube.com/watch?v=GmWiOfoQDNQ;TH; Chaweng, Koh Samui, Thailand ;7;;N;;Y;Bondi Hotel 1 Live Stream From Chaweng, Koh Samui, Thailand | Live HD Webcam | Samui Webcam
https://www.youtube.com/watch?v=sbZNL98Z0GE;TH;Chaweng, Koh Samui;7;;N;;Y;Tropical Murphys Live Stream From Chaweng, Koh Samui, Thailand | Live HD Webcam | SamuiWebcam
https://www.youtube.com/watch?v=1y5dcfnv-Ss;TW;New Taipei City, Taiwan ;8;;N;;Y;NetCamLIVE2 即時影像YT直播相機 (展示 LIVE DEMO)@Taiwan New Taipei City #1/2 720p 台灣 新北市新莊區中正路/思源路 大漢橋下 捷運頭前庄站
https://www.youtube.com/watch?v=XQ2lhRS_8wQ;TW;New Taipei City, Taiwan ;8;;N;;Y;🔴 ♡IP Camera LIVE!,New Taipei City,Taiwan Live Stream 台灣板橋直播 (颱風動態 天氣 氣象 台風 Typhoon)
https://www.youtube.com/watch?v=xCDSGVpWuNI;TW;New Taipei City, Taiwan ;8;;N;;Y;NetCamLIVE2 即時影像YT直播相機 (展示 LIVE DEMO)@Taiwan New Taipei City #1/2 720p 台灣 新北市新莊區中正路
https://www.youtube.com/watch?v=fw5QDX31mfQ;UK;Ammanford, Wales;0;;N;;Y;Ammanford, Wales UK LIVE 24 HOUR
https://www.youtube.com/watch?v=St7aTfoIdYQ;UK;Broad Street, Oxford;0;;N;;Y;Oxford Martin School Webcam - Broad Street, Oxford
https://www.youtube.com/watch?v=W_jxu1u6lR8;UK;Holmfirth (UK);0;;N;;Y;Holmfirth Live - traffic, what traffic?
https://www.youtube.com/watch?v=l_i5R9Sj2FY;UK;Weymouth (UK);0;;N;;Y;Weymouth Beach B &B webcam
https://www.youtube.com/watch?v=lEyOa9Rh7Kk;UK;Woodford (UK);0;;N;;Y;Snakes Lane East, Woodford Green,London,
https://www.youtube.com/watch?v=IFybbZvZcH4;UK;Regent Street, London;0;;N;;Y;Testing View Regent Street, London
https://www.youtube.com/watch?v=nQLru1cwNv4;USA;Apex, North Carolina, USA;-5;;N;Road, crossroad;Y;Town of Apex NC Downtown Camera
https://www.youtube.com/watch?v=YlksXBZbx8Y;USA;Ashland, Virginia USA;-4;;N;;Y;Ashland, Virginia USA - Virtual Railfan LIVE
https://www.youtube.com/watch?v=wVDtzDwo-1Q;USA;Auburn, Alabama, (USA);-6;;N;Traffic, Square, crossroad;Y;City of Auburn Toomer's Corner Webcam 1
https://www.youtube.com/watch?v=SH63YaIWyK0;USA;Breckenridge, Colorado (USA);-6;;Y;;Y;Breckenridge Main Street
https://www.youtube.com/watch?v=G0nHBqXO0V0;USA;Cortez, Colorado USA;-6;;N;;Y;Cortez, Colorado USA
https://www.youtube.com/watch?v=vbA0uy8AsLE;USA;Downtown Laramie, Wyoming, USA;-6;;N;;Y;"Historic Downtown Laramie ""Live"" Web Camera"
https://www.youtube.com/watch?v=QtVNCxnGzF4;USA;Durango, Colorado USA;-6;;N;;Y;Main Ave. Durango, Colorado USA
https://www.youtube.com/watch?v=1M00flnxVlo;USA;East Beverley Street Staunton, Virginia;-4;;N;;Y;East Beverley Street Staunton, VA
https://www.youtube.com/watch?v=MHzvT9IPD0s;USA;Jackson Hole, 565 West Broadway, Wyoming (USA);-6;;N;;Y;565 West Broadway - SeeJH.com HQ
https://www.youtube.com/watch?v=2_0BhySMnR4;USA;Jackson Hole, Adventure Rentals, Wyoming (USA);-6;;N;;Y;Jackson Hole Adventure Rentals - SeeJH.com
https://www.youtube.com/watch?v=dcXnm3Y4BG8;USA;Jackson Hole, Town Square Cache Street, Wyoming (USA);-6;;N;;Y;Jackson Town Square Cache Street @ Roadhouse Pub - SeeJH.com
https://www.youtube.com/watch?v=kuPeS-lgzEU;USA;Jackson Hole, Wyoming (USA);-6;;N;;Y;Moe's Original BBQ Jackson - Cache Street - SeeJH.com
https://www.youtube.com/watch?v=1EiC9bvVGnk;USA;Jackson Hole,Town Square, Wyoming (USA);-6; Town Square;N;;Y;Jackson Hole Wyoming USA Town Square Live Cam - SeeJH.com
https://www.youtube.com/watch?v=REGnLIqCydU;USA;Jackson Hole,Town Square, Wyoming (USA);-6;;Y;;Y;Jackson Town Square Live Webcam - SeeJH.com
https://www.youtube.com/watch?v=eyk8m0kVe7I;USA;Kansas (USA);-6;;N;;Y;Independence, KS Laurel Street Webcam Live Stream
https://www.youtube.com/watch?v=OLRAF4xeR-g;USA;Kansas (USA);-6;;N;;;Independence, KS Chestnut Street Webcam Live Stream
https://www.youtube.com/watch?v=pJ5cg83D5AE;USA;La Grange, Kentucky USA;-4;;N;;Y;La Grange, Kentucky USA - Virtual Railfan LIVE
https://www.youtube.com/watch?v=hFXdChBSAUw;USA;Las Vegas (USA);-7;;Y;;Y;Las Vegas: AE View Live
https://www.youtube.com/watch?v=7Hcfqa8LsjQ;USA;Main Street North, Sheridan, Wyoming (USA);-6;;N;;Y;ACT - Main Street North
https://www.youtube.com/watch?v=Oxknhm7Uvqw;USA;Main Street South, Sheridan, Wyoming (USA);-6;;N;;Y;ACT - Main Street South
https://www.youtube.com/watch?v=arwNAwJHJGk;USA;Newport Beach (USA);-7;;N;City;Y;Innovation Lab Newport Beach
https://www.youtube.com/watch?v=DgkDsmHAoaE;USA;Oriskany, New York (USA);-5;;N;;Y;ORISKANY BLVD CAM (POWERED BY TAS ELECTRONICS)
https://www.youtube.com/watch?v=CK0sbPZOMjY;USA;Salem, New Hampshire (USA);-4;;N;;Y;Salem, NH - Rockingham Park Blvd @ Mall RD
https://www.youtube.com/watch?v=gU7HakWRhNA;USA;Salem, New Hampshire (USA);-4;;N;;Y;Salem, NH - RT28 @ Kelly RD
https://www.youtube.com/watch?v=nFxA7YLtX4E;USA;Salem, New Hampshire (USA);-4;;N;;Y;Salem, NH - RT28 @ Lawrence RD
https://www.youtube.com/watch?v=omAB8ceNFd0;USA;Salem, New Hampshire (USA);-4;;N;;Y;Salem, NH - RT28 @ Veterans Memorial Parkway
https://www.youtube.com/watch?v=SBHYoL3DG9M;USA;San Francisco (USA);-7;;N;Traffic;Y;San Francisco Bay Times - Castro Street Cam 1
https://www.youtube.com/watch?v=M5YcNFztndw;USA;San Francisco (USA);-7;;N;Traffic;Y;San Francisco Bay Times - Castro Street Cam 2
https://www.youtube.com/watch?v=zeHHcOkV3TQ;USA;San Francisco (USA);-7;;N;Traffic;Y;San Francisco Bay Times - Castro Street Cam 4
https://www.youtube.com/watch?v=j8V2OfnugB8;USA;San Francisco (USA);-7;;N;Traffic;Y;San Francisco Bay Times - Castro Street Cam 3
https://www.youtube.com/watch?v=rpbkCUbWVio;USA;SOUTHAMPTON, new york (USA);-5;;N;;Y;TwinForksPestControl.com SOUTHAMPTON TRAFFIC CAM (1080p HD)
https://www.youtube.com/watch?v=Fhj-oPwX1bo;USA;Telluride, Colorado (USA);-6;;Y;;Y;Downtown Telluride Live Camera
https://www.youtube.com/watch?v=31ce1XGcGqw;USA;Tucson (USA);-7;;N;Traffic;Y;Live Webcam From 4th Avenue Tucson, Arizona
https://www.youtube.com/watch?v=frIW_UyrwDE;USA;West Beverley Street Staunton, Virginia;-4;;N;;Y;West Beverley Street Staunton, VA
https://www.youtube.com/watch?v=GyErzaxRXYk;USA;Lawton, Michigan, USA;-5;;N;;Y;Downtown Lawton, MI Live 24/7 - Horizon Broadband
https://www.youtube.com/watch?v=vI33zkaU_fY;USA;Dry Ridge, Kentucky, USA;-6;;N;;Y;Live Feed I-75 & Taft Hwy
https://www.youtube.com/watch?v=tG22MMoNZag;USA;Glen Ellen, California, USA;-7;;N;;Y;🔴 Live From Glen Ellen, California
https://www.youtube.com/watch?v=NmIx1p99Wi0;USA;Casa Grande, Arizona, USA;-7;;N;;Y;Gebhardt Insurance Traffic Cam Round Trip Bike Sho
https://www.youtube.com/watch?v=ivjMtQRxHw4;USA;Sonoma, California, USA;-7;;N;;Y;Live From Sonoma Live Stream
https://www.youtube.com/watch?v=Q9-k5WBr4Oc;UK;Holmfirth (UK);0;;N;;Y;Holmfirth Live - Station Rd cam
